osmnx_node_id,EMB000,EMB001,EMB000pooled,EMB001pooled,closeness_networkwide,betweenness_networkwide,closeness_egograph,betweenness_egograph,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg
1646431554,0.5929084,-0.6240349,0.12505762,-0.31311157,0.0171069342441144,0.0167790360142774,0.0853932584269663,0.1302881341504937,90.0,162.0,3.6,10136.104,62.56854320987655,2.7777777777777777,74.0,7026.320000000002,116.0,60.57172413793106,1.020939538331118
1646654701,0.8818794,-0.994311,0.14587271,-0.2761065,0.016879434017354,0.0074747690097623,0.1115997926702847,0.1802386572252819,125.0,220.0,3.52,12773.806999999992,58.06275909090906,2.976,114.0,9658.802,171.0,56.48422222222222,1.027346897064179
1646654711,0.62742484,-0.88157463,0.18058757,-0.27021337,0.0166469760977194,0.0031446586287054,0.0876842105263157,0.1568451612903225,126.0,223.0,3.5396825396825395,12905.774999999994,57.87343049327352,2.912698412698413,111.0,9621.841,171.0,56.26807602339181,1.027958373026813
1646654724,0.88089174,-0.9944468,0.17299537,-0.31019998,0.0170621033352933,0.0017837844951191,0.1227815645159818,0.1467857301523834,124.0,218.0,3.5161290322580645,12536.585999999994,57.507275229357774,2.911290322580645,109.0,9404.936,168.0,55.9817619047619,1.026257317547377
1646654725,0.42105713,-0.99972445,0.1610973,-0.27950868,0.01729310041069,0.0067831019537628,0.1208722525087676,0.2405870268380103,125.0,219.0,3.504,12733.236999999994,58.14263470319632,2.96,113.0,9658.693999999998,171.0,56.48359064327484,1.027359687922656
1646654730,0.91131353,-0.98956335,-0.0069674584,-0.30954343,0.0165818060899006,0.0020799594069464,0.10986328125,0.1979966371391075,129.0,222.0,3.441860465116279,12268.833999999995,55.265018018018,2.9069767441860463,114.0,9253.477,169.0,54.75430177514792,1.0274418265883876
1646654731,0.062584065,-0.9259072,0.03101162,-0.28800124,0.0160024892941155,0.0015313351998046,0.0944439765293803,0.0968375732144418,125.0,215.0,3.44,12092.152999999997,56.24257209302324,2.92,111.0,9140.605,166.0,55.06388554216867,1.0273279372614978
1646664830,0.89646393,-0.99357414,0.12561227,-0.32465392,0.0167761723623371,0.0020003837081877,0.1189423684138271,0.1843089990817263,122.0,206.0,3.377049180327869,11108.660999999993,53.92553883495142,2.9098360655737703,107.0,8728.442,163.0,53.54872392638036,1.020543402138396
1646669981,-0.81992745,-0.47880286,0.17044929,-0.3260011,0.0169069084123662,0.0049419989115257,0.102408146415302,0.1639415623136553,131.0,228.0,3.480916030534351,13280.160999999996,58.24632017543857,2.938931297709924,117.0,9985.033999999998,177.0,56.41262146892654,1.026788747669112
1646669986,-0.37172765,0.42145285,0.14512527,-0.2754686,0.0173330370684626,0.0234371212353712,0.0788391689291651,0.182477190351206,128.0,225.0,3.515625,13190.209999999995,58.623155555555535,2.9609375,116.0,9940.425,175.0,56.80242857142856,1.0267989428977784
1646669987,0.29934055,-0.99839485,0.16767664,-0.27581018,0.0170964146132124,0.0015579349811225,0.1131811569878035,0.1005629629629629,127.0,223.0,3.5118110236220472,12912.814999999997,57.90499999999998,2.9291338582677167,113.0,9748.483,173.0,56.349612716763005,1.0273104860202282
1646669989,0.42105713,-0.99972445,0.14567895,-0.28274146,0.0173095711646134,0.0028440625041904,0.1147996822154125,0.2425100529100529,127.0,221.0,3.4803149606299213,12811.460999999994,57.97041176470586,2.9606299212598426,115.0,9736.918,173.0,56.282763005780346,1.0271339265491108
1646684577,0.99818915,-0.99993795,-0.046850514,-0.38218105,0.0165188983150146,0.0033222447918371,0.1153133423180593,0.3451238095238095,127.0,218.0,3.4330708661417324,11318.19899999999,51.9183440366972,2.8976377952755907,113.0,8789.755999999994,167.0,52.63326946107781,1.0288272527788642
1646684583,0.44359142,-0.9924407,0.017777406,-0.28236786,0.0161675189310677,0.0003119081884401,0.0887613947854911,0.0462328042328042,127.0,226.0,3.559055118110236,12133.17699999999,53.68662389380527,2.858267716535433,111.0,9042.339999999997,167.0,54.14574850299399,1.0326950209872412
1646684590,0.9999483,-0.9974547,-0.0075790607,-0.30059752,0.0164740598058261,0.0029756719421127,0.1183667662540901,0.4203887906474113,118.0,201.0,3.406779661016949,10675.181999999992,53.110358208955184,2.8983050847457625,105.0,8400.739999999998,157.0,53.50789808917196,1.0297745582547588
1646684600,-0.9296013,0.39226785,-0.012805034,-0.2693165,0.0164945640521995,0.0007824998740447,0.0947274770556284,0.146612743981165,134.0,246.0,3.671641791044776,13558.385,55.11538617886179,2.8582089552238807,118.0,9468.712999999996,175.0,54.10693142857141,1.033564177590047
1646684603,-0.3130555,-0.94253266,-0.023210803,-0.25198677,0.0161586820908835,0.0009162938284185,0.077846498991479,0.0354883805374001,137.0,247.0,3.605839416058394,13382.950999999992,54.18198785425098,2.8613138686131387,121.0,9698.996999999998,180.0,53.88331666666665,1.0373495200402525
1646684608,0.32327542,-0.99809915,-0.042400744,-0.37279335,0.0161675389348772,0.0003146766708058,0.0898855623627326,0.0075814118796925,124.0,212.0,3.419354838709677,11100.820999999987,52.36236320754712,2.919354838709677,111.0,8600.389999999996,162.0,53.0888271604938,1.02862417837706
1646684619,0.6612154,-0.80534524,-0.0046424614,-0.4487945,0.0159934013731422,0.0,0.1200225225225225,0.0,76.0,126.0,3.3157894736842106,6624.715000000003,52.5771031746032,2.9342105263157894,67.0,5021.0880000000025,99.0,50.71806060606063,1.0328330324019144
1646684623,-0.95700604,0.74906796,0.024705041,-0.27114493,0.0160024500992264,0.000245569351017,0.0964333548291085,0.0508461419034311,115.0,194.0,3.373913043478261,10198.074999999992,52.56739690721646,2.9130434782608696,102.0,7927.531000000001,151.0,52.50020529801325,1.0249149655037055
1646684645,-0.5155829,0.94480586,-0.012457447,-0.29915437,0.0162248926300799,0.0008660778413665,0.0886765249097386,0.1794941900205058,134.0,243.0,3.626865671641791,13332.31,54.8654732510288,2.8582089552238807,118.0,9521.954999999996,176.0,54.10201704545453,1.0321540844139858
1646684664,-0.81722605,-0.2620794,0.0025222574,-0.30422744,0.0156570050576872,2.8298737138710344e-05,0.0744161188605633,0.0037629629629629,127.0,227.0,3.574803149606299,11950.679999999988,52.646167400881005,2.8661417322834644,111.0,8930.496999999994,169.0,52.84317751479286,1.031921261929064
1646684682,0.99937767,-0.9969339,0.018044148,-0.28760228,0.0165718591470474,0.0037629465748566,0.1133625075080596,0.3986514833682948,143.0,258.0,3.608391608391608,14180.755999999998,54.96417054263565,2.86013986013986,124.0,10531.746999999998,191.0,55.14003664921465,1.0330913451920174
1646684780,-0.09285209,0.9993275,0.178311,-0.5238391,0.0003209950847627,7.479736728663612e-05,0.0699453551912568,0.0262295081967213,62.0,102.0,3.290322580645161,4992.724000000001,48.94827450980393,3.096774193548387,57.0,4332.222,88.0,49.22979545454545,1.0126283871659985
1647126018,0.44577152,0.7680427,0.70051354,-0.0013838825,0.0156717458608025,0.0,0.2444444444444444,0.0,23.0,50.0,4.3478260869565215,4237.235999999999,84.74471999999997,2.9565217391304346,21.0,2118.618,25.0,84.74472,1.0269016226839096
1647126059,0.41981137,0.7844614,0.16370411,0.5888107,0.014614913870536,0.0,0.2396694214876033,0.0,30.0,62.0,4.133333333333334,4866.7480000000005,78.49593548387098,2.5,22.0,2433.374,31.0,78.49593548387097,1.0017540849548237
1647126065,0.99997157,-0.996652,0.48252702,-0.030389242,0.015107814942323,0.0002982158693907,0.2408759124087591,0.1193181818181818,34.0,71.0,4.176470588235294,6017.362999999998,84.75159154929574,2.647058823529412,27.0,3084.746,36.0,85.68738888888888,1.02468112371737
1647126093,0.9999976,-0.8945102,0.46855474,0.19934736,0.0152094735658208,0.0059081604929257,0.25,0.3137824235385211,43.0,93.0,4.325581395348837,8121.450999999997,87.32743010752685,2.581395348837209,33.0,4136.789999999999,47.0,88.01680851063828,1.0287199360251111
1649504293,0.661409,-0.8083082,-0.17149511,0.064595126,0.0121495708567712,0.0,0.1731448763250883,0.0,50.0,104.0,4.16,5919.124,56.91465384615385,2.26,31.0,2959.562000000001,52.0,56.91465384615386,1.054408813908431
1654531086,-0.8382519,0.17308544,-0.21378344,-0.17975388,0.0161133308749025,0.0,0.1623959000640615,0.0,43.0,82.0,3.813953488372093,5241.234999999999,63.91749999999998,2.302325581395349,27.0,2726.6500000000005,44.0,61.9693181818182,1.104625390771703
1654536870,-0.81939876,-0.46379134,-0.48084813,-0.021917205,0.0148248632925254,0.0,0.1206030150753768,0.0,73.0,141.0,3.863013698630137,6561.562999999996,46.53590780141841,2.4383561643835616,52.0,3684.515000000001,82.0,44.93310975609758,1.093792316407132
1654536883,-0.9996144,-0.45664182,-0.5177344,-0.10125845,0.0152817437789004,0.0005963524922897,0.1493624772313297,0.0948509485094851,83.0,161.0,3.879518072289157,7327.216999999997,45.51066459627327,2.4457831325301207,59.0,4067.342000000001,92.0,44.21023913043479,1.09007037573581
1654536886,-0.99975294,-0.94340557,-0.49461448,-0.040323455,0.0150498715257742,0.0002982158693907,0.1360294117647058,0.0536838208071084,75.0,145.0,3.8666666666666663,6632.160999999996,45.73904137931032,2.453333333333333,54.0,3719.814000000001,84.0,44.28350000000002,1.092826074061134
1654536893,-0.81939876,-0.46379134,-0.48084813,-0.021917205,0.0148248632925254,0.0,0.1206030150753768,0.0,73.0,141.0,3.863013698630137,6561.562999999996,46.53590780141841,2.4383561643835616,52.0,3684.515000000001,82.0,44.93310975609758,1.093792316407132
1674993112,-0.91259974,0.38038576,-0.046681494,-0.31135383,0.0175064584691273,0.0002978726644879,0.0787878787878788,0.0636363636363636,67.0,103.0,3.074626865671642,7131.852000000003,69.24128155339808,2.9402985074626864,63.0,5726.389000000002,85.0,67.3692823529412,1.0408506847551524
1674993153,0.037329383,0.8007258,0.090981685,-0.45084256,0.0002188602850655,0.0,0.0618955512572533,0.0,48.0,75.0,3.125,4209.639000000001,56.128520000000016,3.020833333333333,43.0,3601.9020000000005,64.0,56.27971875000001,1.0130828299483028
1674993233,0.7511021,-0.6606674,0.056889027,-0.39731103,0.0175882722778602,0.0171615280621987,0.0554769575570808,0.0763344453711426,111.0,186.0,3.3513513513513518,10141.138,54.52224731182796,2.945945945945946,100.0,7894.431000000002,148.0,53.340750000000014,1.0130636240198614
1674993253,0.99046737,-0.6970422,0.014022043,-0.3689303,0.0180091109162035,0.0043518968530586,0.0880978187237501,0.0896407254361799,122.0,207.0,3.39344262295082,11015.752,53.21619323671497,2.8524590163934427,105.0,8398.975000000002,160.0,52.49359375000002,1.0137035200587468
